Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z
0,0.10716341313415877,0.9616876628617889,1.665335e-16,2.220446e-16,0.1071634131341586,0.9616876628617886
1,0.05715958125913913,1.9369637222433191,0.01210187,0.1267281,0.04505771125913913,1.8102356222433191
2,0.06954991353972689,2.912008622331621,0.03021791,0.268623,0.03933200353972689,2.643385622331621
3,0.18722950507542785,3.8605956682092892,0.05987546,0.4305403,0.12735404507542786,3.430055368209289
4,0.4756749598835673,4.773817409475136,0.1050408,0.6034613,0.3706341598835673,4.170356109475136
5,0.29342535332093,3.8498263820606713,0.1652963,0.7870087,0.12812905332093,3.0628176820606714
6,0.3396972006238824,4.786304441896897,0.2401943,0.9812571,0.09950290062388242,3.805047341896897
7,0.625604655493927,5.698416186019583,0.3220547,1.185453,0.30354995549392694,4.512963186019583
8,0.9170224458877618,6.613179626357044,0.4170054,1.399473,0.5000170458877617,5.213706626357045
9,1.2896383288793578,7.457293761346235,0.5318267,1.620036,0.7578116288793578,5.837257761346235
10,1.9703419254716195,8.077759599009411,0.6772189,1.841928,1.2931230254716195,6.235831599009411
11,2.6426848659326474,7.462134348246044,0.8328051,2.063052,1.8098797659326475,5.399082348246044
12,2.3270270937595234,6.706213978361483,0.9991018,2.286905,1.3279252937595234,4.419308978361483
13,2.8913559354222373,7.434176639759727,1.18805,2.5128,1.7033059354222373,4.9213766397597265
14,3.6054603399924154,8.023864019738001,1.399778,2.733367,2.2056823399924155,5.290497019738002
15,4.2391515673628,8.756894004554809,1.634196,2.948016,2.6049555673627998,5.808878004554809
16,5.001845831885968,9.29084063414703,1.890112,3.160521,3.111733831885968,6.130319634147029
17,4.298058487915652,8.691145011594845,2.166152,3.369735,2.131906487915652,5.321410011594844
18,5.107984256417595,9.225995105158098,2.465897,3.579897,2.642087256417595,5.6460981051580985
19,5.971485813275922,9.644117623425956,2.784666,3.792151,3.1868198132759216,5.851966623425955
20,6.686317816817356,10.2438121633254,3.131897,4.000366,3.554420816817356,6.2434461633254
21,7.503730171083401,10.716481269149957,3.507611,4.202254,3.996119171083401,6.514227269149957
22,8.393865799940597,11.140661886798183,3.909356,4.402127,4.484509799940597,6.738534886798183
23,9.330774829663115,11.429314579357587,4.338561,4.60041,4.992213829663115,6.828904579357587
24,8.54946108344599,10.964837427284486,4.794196,4.791823,3.75526508344599,6.173014427284486
25,9.507005270111428,11.246181838858812,5.277728,4.974126,4.229277270111428,6.272055838858812
26,10.402700607756385,11.592591427984551,5.789743,5.152037,4.612957607756385,6.4405544279845515
27,11.306274987146374,11.987597173703755,6.329744,5.330723,4.976530987146374,6.656874173703755
