Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z,MSE_X,MSE_Z
0,-0.3403573749163397,0.9370552620440024,5.551115e-17,-4.440892e-16,0.34035737491633977,0.9370552620440028,57.0901530499932,36.84737002799966
1,-0.36082956871989436,1.9368454629621683,-0.04690294,0.8586941,0.31392662871989435,1.0781513629621684,57.0901530499932,36.84737002799966
2,-0.3879996335570793,2.936444810663148,-0.09374345,1.716275,0.2942561835570793,1.220169810663148,57.0901530499932,36.84737002799966
3,-0.5568654300130488,3.922083764994273,-0.1406429,2.574964,0.41622253001304876,1.347119764994273,57.0901530499932,36.84737002799966
4,-0.35775039765921457,4.901802491292737,-0.1874858,3.432648,0.17026459765921456,1.4691544912927372,57.0901530499932,36.84737002799966
5,-0.47188419129894227,5.8952664086863376,-0.2343818,4.291335,0.23750239129894227,1.6039314086863374,57.0901530499932,36.84737002799966
6,-0.5565856928940595,6.89166281482199,-0.2812195,5.148987,0.27536619289405945,1.7426758148219896,57.0901530499932,36.84737002799966
7,-1.4367223990965519,7.339853592847618,-0.3281178,6.007777,1.1086045990965518,1.332076592847618,57.0901530499932,36.84737002799966
8,-1.518321886218083,8.336328040098966,-0.3749547,6.865477,1.143367186218083,1.4708510400989656,57.0901530499932,36.84737002799966
9,-1.6389485352487716,9.328979281820724,-0.4218367,7.724036,1.2171118352487715,1.6049432818207237,57.0901530499932,36.84737002799966
10,-1.723597278725936,10.324758988816876,-0.4687329,8.582886,1.254864378725936,1.7418729888168762,57.0901530499932,36.84737002799966
11,-1.211704402793988,11.174581217492593,-0.5155474,9.440275,0.6961570027939881,1.734306217492593,57.0901530499932,36.84737002799966
12,-1.214762623477933,12.174552901270658,-0.562431,10.29896,0.6523316234779329,1.8755929012706591,57.0901530499932,36.84737002799966
13,-1.2648463773640948,13.173292730593001,-0.6093087,11.15757,0.6555376773640947,2.0157227305930014,57.0901530499932,36.84737002799966
14,-1.24411254741753,14.172533213348377,-0.6562052,12.01541,0.58790734741753,2.1571232133483775,57.0901530499932,36.84737002799966
15,-1.2332452055848042,15.17219012959861,-0.7018788,12.86965,0.5313664055848042,2.3025401295986097,57.0901530499932,36.84737002799966
16,-1.3211105062941935,16.168282119186426,-0.7498241,13.73146,0.5712864062941935,2.4368221191864254,57.0901530499932,36.84737002799966
17,-1.353006811779995,17.167379551930747,-0.7992511,14.60026,0.5537557117799949,2.5671195519307464,57.0901530499932,36.84737002799966
18,-1.4116790663570349,18.165633885860892,-0.8546642,15.47957,0.5570148663570349,2.686063885860891,57.0901530499932,36.84737002799966
19,-1.5076392975064263,19.160994285129355,-0.9072868,16.3694,0.6003524975064264,2.7915942851293565,57.0901530499932,36.84737002799966
20,-1.5092034039837652,20.159826433200404,-0.9609163,17.26896,0.5482871039837652,2.8908664332004044,57.0901530499932,36.84737002799966
21,-1.695438132552146,21.1423025277065,-1.011589,18.17318,0.6838491325521459,2.969122527706503,57.0901530499932,36.84737002799966
22,-1.6930552055874137,22.140511655920765,-1.066256,19.08411,0.6267992055874136,3.056401655920766,57.0901530499932,36.84737002799966
