Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z
0,-0.004890049516119486,1.0339460208348128,1.110223e-16,2.220446e-16,0.004890049516119597,1.0339460208348126
1,-0.029996663351078985,2.0417985125618507,0.003499723,0.5653511,0.03349638635107899,1.4764474125618507
2,-0.10509867574707801,3.040631549327429,0.001173954,1.127607,0.10627262974707802,1.9130245493274292
3,-0.08478228396816999,2.0716124417219044,-0.007831705,1.689225,0.07695057896817,0.3823874417219044
4,-0.09496893299432022,3.083967923758049,-0.01508128,2.251296,0.07988765299432021,0.8326719237580491
5,-0.10078884682504964,4.086718645440705,-0.02040073,2.816072,0.08038811682504965,1.2706466454407046
6,-0.07360006218583214,3.134335658023159,-0.02969353,3.390281,0.04390653218583214,0.2559453419768407
7,0.09537706553768359,4.125918879588001,-0.04152744,3.969489,0.13690450553768357,0.15642987958800125
8,0.15422307011208378,5.113802362240468,-0.05593704,4.556204,0.21016011011208377,0.5575983622404674
9,0.16140999739712,6.161933987845901,-0.07008098,5.150463,0.23149097739712,1.0114709878459012
10,0.2555871779691293,5.216907263109256,-0.08798198,5.751285,0.3435691579691293,0.5343777368907441
11,0.28678258971040343,6.2675317716377625,-0.1054713,6.363942,0.3922538897104034,0.09641022836223723
12,0.3104628270016789,5.292102918093102,-0.1238576,6.989627,0.4343204270016789,1.6975240819068977
13,0.22112001937522274,6.276049026673574,-0.1444743,7.637602,0.36559431937522274,1.3615529733264262
14,0.1943391826527168,7.313842976327502,-0.1645124,8.302111,0.35885158265271677,0.9882680236724983
15,0.22863581518679646,6.3556273732577235,-0.1844755,8.978383,0.41311131518679645,2.6227556267422756
16,0.19844049868419547,7.381533472189391,-0.2077191,9.661917,0.4061595986841955,2.28038352781061
17,0.3172042895908839,6.412476817653937,-0.2329992,10.35368,0.5502034895908839,3.9412031823460634
18,0.29225454606218654,7.408568930078765,-0.253794,11.06423,0.5460485460621866,3.6556610699212353
19,0.2220274487811274,8.396680410936519,-0.270128,11.79839,0.4921554487811274,3.401709589063481
20,0.2965872806162758,9.463369378669288,-0.2821162,12.5587,0.5787034806162759,3.095330621330712
21,0.1926068538666792,10.435875077747134,-0.2962122,13.3352,0.4888190538666792,2.899324922252866
22,0.1784747901639565,11.442153841487862,-0.3128296,14.12399,0.4913043901639565,2.6818361585121373
23,0.2074125528836881,10.473711105156873,-0.3270868,14.92763,0.5344993528836881,4.453918894843127
24,0.13108168831081915,11.46202162883713,-0.3451203,15.74882,0.47620198831081917,4.28679837116287
25,0.049570197622972614,12.439459089771418,-0.3585571,16.58175,0.4081272976229726,4.142290910228581
26,0.025718956042006396,13.443390529679858,-0.3661096,17.4281,0.3918285560420064,3.9847094703201424
27,-0.05739913244437868,14.431759481283285,-0.3686442,18.28806,0.3112450675556213,3.8563005187167168
28,-0.106008509032866,15.448161527409694,-0.3812873,19.16967,0.275278790967134,3.7215084725903065
29,-0.12753735017181117,16.457068740952977,-0.3931436,20.0706,0.2656062498281888,3.613531259047022
30,-0.19984368480890397,17.43430342833701,-0.4065575,20.99062,0.20671381519109605,3.5563165716629896
31,-0.24391983798903888,18.445368856409825,-0.419658,21.92489,0.1757381620109611,3.4795211435901763
32,-0.24857212704584486,19.470185866144785,-0.4375606,22.87774,0.18898847295415516,3.407554133855214
33,-0.32881931013640575,20.43469432485728,-0.4507315,23.84921,0.12191218986359426,3.41451567514272
34,-0.3827449136445026,21.435765402368915,-0.46864,24.82497,0.08589508635549742,3.3892045976310854
35,-0.42153301455932324,22.427708259773635,-0.4870736,25.80752,0.06554058544067676,3.3798117402263657
